10116,3.00,35Åã 18' 36.568",139Åã 32' 9.810",0,2.00,1091,1092,,,
10117,3.00,35Åã 18' 36.552",139Åã 32' 9.871",0,3.00,1090,1091,1188,,
10118,3.00,35Åã 18' 36.384",139Åã 32' 9.893",0,1.00,1188,,,,
10119,3.00,35Åã 18' 46.674",139Åã 32' 9.895",0,2.00,1062,1063,,,
10120,3.00,35Åã 18' 34.595",139Åã 32' 10.274",0,2.00,1475,1476,,,
10121,3.00,35Åã 18' 34.194",139Åã 32' 10.456",0,2.00,1428,1429,,,
10122,3.00,35Åã 18' 34.997",139Åã 32' 11.442",0,2.00,1476,1477,,,
10123,3.00,35Åã 18' 36.584",139Åã 32' 11.508",0,2.00,1089,1090,,,
10124,3.00,35Åã 18' 34.577",139Åã 32' 11.525",0,2.00,1429,1430,,,
10125,3.00,35Åã 18' 34.671",139Åã 32' 11.777",0,2.00,1430,1431,,,
10126,3.00,35Åã 18' 47.076",139Åã 32' 13.401",0,3.00,1063,1064,1197,,
10127,3.00,35Åã 18' 46.795",139Åã 32' 13.484",0,3.00,1106,1107,1197,,
10128,3.00,35Åã 18' 47.086",139Åã 32' 13.493",0,2.00,1064,1065,,,
10129,3.00,35Åã 18' 46.819",139Åã 32' 13.688",0,2.00,1107,1108,,,
10130,3.00,35Åã 18' 47.122",139Åã 32' 13.735",0,2.00,1065,1066,,,
10131,3.00,35Åã 18' 36.022",139Åã 32' 14.079",0,2.00,1477,1478,,,
10132,3.00,35Åã 18' 36.500",139Åã 32' 14.095",0,2.00,1088,1089,,,
10133,3.00,35Åã 18' 35.607",139Åã 32' 14.132",0,2.00,1431,1432,,,
10134,3.00,35Åã 18' 35.733",139Åã 32' 14.441",0,2.00,1432,1433,,,
10135,3.00,35Åã 18' 36.519",139Åã 32' 14.626",0,3.00,1088,1478,1479,,
10136,3.00,35Åã 18' 47.071",139Åã 32' 15.773",0,2.00,1108,1109,,,
10137,3.00,35Åã 18' 47.370",139Åã 32' 15.782",0,2.00,1066,1067,,,
10138,3.00,35Åã 18' 36.318",139Åã 32' 15.932",0,2.00,1433,1434,,,
10139,3.00,35Åã 18' 47.103",139Åã 32' 16.025",0,2.00,1109,1110,,,
10140,3.00,35Åã 18' 36.813",139Åã 32' 16.267",0,2.00,1479,1480,,,
10141,3.00,35Åã 18' 36.457",139Åã 32' 16.540",0,2.00,1434,1435,,,
10142,3.00,35Åã 18' 47.573",139Åã 32' 16.979",0,2.00,1067,1068,,,
10143,3.00,35Åã 18' 47.348",139Åã 32' 17.466",0,2.00,1110,1111,,,
10144,3.00,35Åã 18' 47.768",139Åã 32' 17.957",0,2.00,1068,1069,,,
10145,3.00,35Åã 18' 37.139",139Åã 32' 18.120",0,2.00,1480,1481,,,
10146,3.00,35Åã 18' 47.798",139Åã 32' 18.099",0,2.00,1069,1070,,,
10147,3.00,35Åã 18' 37.191",139Åã 32' 18.425",0,2.00,1481,1482,,,
10148,3.00,35Åã 18' 47.614",139Åã 32' 18.580",0,2.00,1111,1112,,,
10149,3.00,35Åã 18' 47.651",139Åã 32' 18.769",0,2.00,1112,1113,,,
10150,3.00,35Åã 18' 49.051",139Åã 32' 19.041",0,2.00,1073,1074,,,
10151,3.00,35Åã 18' 49.322",139Åã 32' 19.106",0,2.00,1074,1075,,,
10152,3.00,35Åã 18' 48.083",139Åã 32' 19.136",0,4.00,1070,1071,1180,1198,
